2017:11:15 10:36:36.946 INFO  --- [main] o.s.b.t.c.SpringBootTestContextBootstrapper : Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.aircuve.view.ViewPackageApplicationTests], using SpringBootContextLoader 
2017:11:15 10:36:36.975 INFO  --- [main] o.s.t.c.s.AbstractContextLoader : Could not detect default resource locations for test class [com.aircuve.view.ViewPackageApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}. 
2017:11:15 10:36:36.977 INFO  --- [main] o.s.t.c.s.AnnotationConfigContextLoaderUtils : Could not detect default configuration classes for test class [com.aircuve.view.ViewPackageApplicationTests]: ViewPackageApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
2017:11:15 10:36:37.345 INFO  --- [main] o.s.b.t.c.SpringBootTestContextBootstrapper : Found @SpringBootConfiguration com.aircuve.ApiPackageApplication for test class com.aircuve.view.ViewPackageApplicationTests 
2017:11:15 10:36:37.358 INFO  --- [main] o.s.b.t.c.SpringBootTestContextBootstrapper : Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener] 
2017:11:15 10:36:37.388 INFO  --- [main] o.s.b.t.c.SpringBootTestContextBootstrapper : Could not instantiate TestExecutionListener [org.springframework.test.context.transaction.TransactionalTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttributeSource] 
2017:11:15 10:36:37.391 INFO  --- [main] o.s.b.t.c.SpringBootTestContextBootstrapper : Could not instantiate TestExecutionListener [org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttribute] 
2017:11:15 10:36:37.393 INFO  --- [main] o.s.b.t.c.SpringBootTestContextBootstrapper : Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@309e345f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@56a6d5a6, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@18ce0030, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4445629, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@45b9a632, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@25d250c6, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4df50bcc, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6b26e945, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@63a65a25, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@54c562f7] 
2017:11:15 10:36:37.403 INFO  --- [main] o.s.b.t.c.SpringBootTestContextBootstrapper : Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.aircuve.view.ViewPackageApplicationTests], using SpringBootContextLoader 
2017:11:15 10:36:37.404 INFO  --- [main] o.s.t.c.s.AbstractContextLoader : Could not detect default resource locations for test class [com.aircuve.view.ViewPackageApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}. 
2017:11:15 10:36:37.405 INFO  --- [main] o.s.t.c.s.AnnotationConfigContextLoaderUtils : Could not detect default configuration classes for test class [com.aircuve.view.ViewPackageApplicationTests]: ViewPackageApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
2017:11:15 10:36:37.425 INFO  --- [main] o.s.b.t.c.SpringBootTestContextBootstrapper : Found @SpringBootConfiguration com.aircuve.ApiPackageApplication for test class com.aircuve.view.ViewPackageApplicationTests 
2017:11:15 10:36:37.438 INFO  --- [main] o.s.b.t.c.SpringBootTestContextBootstrapper : Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener] 
2017:11:15 10:36:37.448 INFO  --- [main] o.s.b.t.c.SpringBootTestContextBootstrapper : Could not instantiate TestExecutionListener [org.springframework.test.context.transaction.TransactionalTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttributeSource] 
2017:11:15 10:36:37.454 INFO  --- [main] o.s.b.t.c.SpringBootTestContextBootstrapper : Could not instantiate TestExecutionListener [org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttribute] 
2017:11:15 10:36:37.455 INFO  --- [main] o.s.b.t.c.SpringBootTestContextBootstrapper : Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@10e92f8f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7ce3cb8e, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@78b66d36, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5223e5ee, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@bef2d72, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@69b2283a, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@22a637e7, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6fe7aac8, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1d119efb, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@659a969b] 
2017:11:15 10:36:38.644 INFO  --- [main] c.a.v.ViewPackageApplicationTests : Starting ViewPackageApplicationTests on bangseunghoui-MacBook-Pro.local with PID 26631 (started by bangseungho in /Users/bangseungho/git/api-demo) 
2017:11:15 10:36:38.649 INFO  --- [main] c.a.v.ViewPackageApplicationTests : No active profile set, falling back to default profiles: default 
2017:11:15 10:36:38.738 INFO  --- [main] o.s.w.c.s.GenericWebApplicationContext : Refreshing org.springframework.web.context.support.GenericWebApplicationContext@1bae316d: startup date [Wed Nov 15 10:36:38 KST 2017]; root of context hierarchy 
2017:11:15 10:36:41.317 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerAdapter : Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@1bae316d: startup date [Wed Nov 15 10:36:38 KST 2017]; root of context hierarchy 
2017:11:15 10:36:41.405 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/login/request],methods=[POST]}" onto public java.lang.String com.aircuve.controller.ApiController.login(java.lang.String) 
2017:11:15 10:36:41.409 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest) 
2017:11:15 10:36:41.411 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) 
2017:11:15 10:36:41.460 INFO  --- [main] o.s.w.s.h.SimpleUrlHandlerMapping : Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
2017:11:15 10:36:41.461 INFO  --- [main] o.s.w.s.h.SimpleUrlHandlerMapping : Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
2017:11:15 10:36:41.529 INFO  --- [main] o.s.w.s.h.SimpleUrlHandlerMapping : Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
2017:11:15 10:36:41.748 INFO  --- [main] c.a.v.ViewPackageApplicationTests : Started ViewPackageApplicationTests in 4.129 seconds (JVM running for 5.617) 
2017:11:15 10:36:41.797 INFO  --- [Thread-2] o.s.w.c.s.GenericWebApplicationContext : Closing org.springframework.web.context.support.GenericWebApplicationContext@1bae316d: startup date [Wed Nov 15 10:36:38 KST 2017]; root of context hierarchy 
